date,tvl_usd
2025-03-09 00:00:00,2625091350
2025-03-10 00:00:00,2604571766
2025-03-11 00:00:00,2555768270
2025-03-12 00:00:00,2532313126
2025-03-13 00:00:00,2358759152
2025-03-14 00:00:00,2322043353
2025-03-15 00:00:00,2355628599
2025-03-16 00:00:00,2358186202
2025-03-17 00:00:00,2334680565
2025-03-18 00:00:00,2342889816
2025-03-19 00:00:00,2319808400
2025-03-20 00:00:00,2337425869
2025-03-21 00:00:00,2316545386
2025-03-22 00:00:00,2307832519
2025-03-23 00:00:00,2307737774
2025-03-24 00:00:00,2311775901
2025-03-25 00:00:00,2318340203
2025-03-26 00:00:00,2304545418
2025-03-27 00:00:00,2104318115
2025-03-28 00:00:00,2103748748
2025-03-29 00:00:00,2063839536
2025-03-30 00:00:00,2076593345
2025-03-31 00:00:00,2079173671
2025-04-01 00:00:00,2088322323
2025-04-02 00:00:00,2093996144
2025-04-03 00:00:00,2080235949
2025-04-04 00:00:00,2089322770
2025-04-05 00:00:00,2082152984
2025-04-06 00:00:00,2075802640
2025-04-07 00:00:00,2057766169
2025-04-08 00:00:00,2063201602
2025-04-09 00:00:00,2055709231
2025-04-10 00:00:00,2104927119
2025-04-11 00:00:00,2122664850
2025-04-12 00:00:00,2149832489
2025-04-13 00:00:00,2156907945
2025-04-14 00:00:00,2155367069
2025-04-15 00:00:00,2155620752
2025-04-16 00:00:00,2160347737
2025-04-17 00:00:00,2170160175
2025-04-18 00:00:00,2179759866
2025-04-19 00:00:00,2190085089
2025-04-20 00:00:00,2194654780
2025-04-21 00:00:00,2201154956
2025-04-22 00:00:00,2204818001
2025-04-23 00:00:00,2258781932
2025-04-24 00:00:00,2278139191
2025-04-25 00:00:00,2268504283
2025-04-26 00:00:00,2298144435
2025-04-27 00:00:00,2283679824
2025-04-28 00:00:00,2289776001
2025-04-29 00:00:00,2295733832
2025-04-30 00:00:00,2308006593
2025-05-01 00:00:00,2304202077
2025-05-02 00:00:00,2342403371
2025-05-03 00:00:00,2364877302
2025-05-04 00:00:00,2353886407
2025-05-05 00:00:00,2338115726
2025-05-06 00:00:00,2343248777
2025-05-07 00:00:00,2366621893
2025-05-08 00:00:00,2368130389
2025-05-09 00:00:00,2564558828
2025-05-10 00:00:00,2746243165
2025-05-11 00:00:00,2838412050
2025-05-12 00:00:00,2895936476
2025-05-13 00:00:00,3032667861
2025-05-14 00:00:00,3080576020
2025-05-15 00:00:00,3094994425
2025-05-16 00:00:00,3071253290
2025-05-17 00:00:00,3087089292
2025-05-18 00:00:00,3079732826
2025-05-19 00:00:00,3097194019
2025-05-20 00:00:00,3126654005
2025-05-21 00:00:00,3143291410
2025-05-22 00:00:00,3304002939
2025-05-23 00:00:00,3555111199
2025-05-24 00:00:00,3715645331
2025-05-25 00:00:00,3707612547
2025-05-26 00:00:00,3687483520
2025-05-27 00:00:00,3673386417
2025-05-28 00:00:00,3691110709
2025-05-29 00:00:00,3700356611
2025-05-30 00:00:00,3682189390
2025-05-31 00:00:00,3551677664
2025-06-01 00:00:00,3520953950
2025-06-02 00:00:00,3520579810
2025-06-03 00:00:00,3536297667
2025-06-04 00:00:00,3583909114
2025-06-05 00:00:00,3580750091
2025-06-06 00:00:00,3569966843
2025-06-07 00:00:00,3544518679
2025-06-08 00:00:00,3522661217
2025-06-09 00:00:00,3513024735
2025-06-10 00:00:00,3577261262
2025-06-11 00:00:00,3778269360
2025-06-12 00:00:00,3887878778
2025-06-13 00:00:00,3853649053
2025-06-14 00:00:00,3787012579
2025-06-15 00:00:00,3732201043
2025-06-16 00:00:00,3747005878
2025-06-17 00:00:00,3822021381
2025-06-18 00:00:00,3828914825
2025-06-19 00:00:00,3807872539
2025-06-20 00:00:00,3821348046
2025-06-21 00:00:00,3817828154
2025-06-22 00:00:00,3806185445
2025-06-23 00:00:00,3790578986
2025-06-24 00:00:00,3724700567
2025-06-25 00:00:00,3706969164
2025-06-26 00:00:00,3727790441
2025-06-27 00:00:00,3740629885
2025-06-28 00:00:00,3701344757
2025-06-29 00:00:00,3685810515
2025-06-30 00:00:00,3709523714
2025-07-01 00:00:00,3712118988
2025-07-02 00:00:00,3679169891
2025-07-03 00:00:00,3681726674
2025-07-04 00:00:00,3673442882
2025-07-05 00:00:00,3656655309
2025-07-06 00:00:00,3646278596
2025-07-07 00:00:00,3653344386
2025-07-08 00:00:00,3665514477
2025-07-09 00:00:00,3695113886
2025-07-10 00:00:00,3768233721
2025-07-11 00:00:00,4014216839
2025-07-12 00:00:00,4243061175
2025-07-13 00:00:00,4501254807
2025-07-14 00:00:00,4615774418
2025-07-15 00:00:00,4785563420
2025-07-16 00:00:00,4707129655
2025-07-17 00:00:00,4908352499
2025-07-18 00:00:00,4994297838
2025-07-19 00:00:00,5039663225
2025-07-20 00:00:00,5029906023
2025-07-21 00:00:00,5118035860
2025-07-22 00:00:00,5237233374
2025-07-23 00:00:00,5277276331
2025-07-24 00:00:00,5151791662
2025-07-25 00:00:00,5052373390
2025-07-26 00:00:00,5026430645
2025-07-27 00:00:00,5050338052
2025-07-28 00:00:00,5181450237
2025-07-29 00:00:00,5168046439
2025-07-30 00:00:00,5024774697
2025-07-31 00:00:00,4913020653
2025-08-01 00:00:00,4891032905
2025-08-02 00:00:00,4687360558
2025-08-03 00:00:00,4606307448
2025-08-04 00:00:00,4633244384
2025-08-05 00:00:00,4612360671
2025-08-06 00:00:00,4562307958
2025-08-07 00:00:00,4532294403
2025-08-08 00:00:00,4656313818
2025-08-09 00:00:00,4735630987
2025-08-10 00:00:00,4859248737
2025-08-11 00:00:00,4891453225
2025-08-12 00:00:00,4959182258
2025-08-13 00:00:00,5148161930
2025-08-14 00:00:00,5439354099
2025-08-15 00:00:00,5346190950
